Smiles,Molecule Name,Standard Value,Standard Units
O=C(O[C@]1[C@](OC)C[C@](C[C@@](C)[C@]2OC(=O)[C@]3N(C(=O)C(=O)[C@@]4(O)[C@](C)CC[C@](O4)C[C@](OC)/C(/C)=C/C=C/C=C/[C@@](C)C[C@@](C)C(=O)[C@](OC)[C@](O)/C(/C)=C/[C@@](C)C(=O)C2)CCCC3)CC1)C(CO)(CO)C,TEMSIROLIMUS,30000,nM
FC(F)(F)CNC(=O)[C@](Nc1nc(-c2c3c([nH]c2)nccc3)ncc1)(CC)C,DECERNOTINIB,30000,nM
S(=O)(=O)(Nc1ncccc1)c1ccc(NC=C2C(=O)Nc3c2c2scnc2cc3)cc1,,10000,nM
N#Cc1ncc(-c2n[nH]c3-c4c(ccc(C#CCN(CC)CC)c4)Cc23)cc1,,10000,nM
O=C(N(C)c1ccc(N/C(/c2ccccc2)=C/2\C(=O)Nc3c\2ccc(C(=O)OC)c3)cc1)CN1CCN(C)CC1,NINTEDANIB,30000,nM
Fc1c(Nc2nc3NC(=O)C(C)(C)Oc3cc2)nc(Nc2cc(OC)c(OC)c(OC)c2)nc1,R-406,30000,nM
Clc1c(F)ccc(Nc2ncnc3c2cc(NC(=O)/C=C/CN2CCCCC2)c(OC)c3)c1,DACOMITINIB ANHYDROUS,30000,nM
Clc1ccc([C@](C(=O)N2CCN(c3ncnc4[C@](O)C[C@@](C)c34)CC2)CNC(C)C)cc1,IPATASERTIB,26,nM
Brc1ccc(C(C(=O)N2CCN(c3ncnc4sc5c(c34)CCC5)CC2)CNC(C)C)cc1,,95,nM
O=C(Nc1n[nH]c2c1cc(-c1nnn(Cc3ccccc3)c1)cc2)CN(C)C,,10000,nM
O=C1N(C2CCN(Cc3ccc(-c4c(-c5ccccc5)nc5c(n4)cc4[nH]cnc4c5)cc3)CC2)c2c(N1)cccc2,,10000,nM
Brc1c(-c2c3c([nH]cc3)ncc2)sc(C(=O)N[C@@](CN)Cc2ccccc2)c1,,40,nM
Clc1cc(C(=O)Nc2cc(C(F)(F)F)cc(C(F)(F)F)c2)c(O)cc1,IMD-0354,10000,nM
Fc1ccc(-c2c(-c3nc(NCC4CC4)ncc3)n3c(n2)C=NC=C3)cc1,,10000,nM
O(CC(N)Cc1c2c([nH]c1)cccc2)c1cc(C=Cc2ccncc2)cnc1,,398.10999,nM
O(CC(N)Cc1ccccc1)c1cc(C=Cc2ccncc2)cnc1,,10000,nM
O=C1N=C(c2cc3c([nH]nc3)cc2)C=C(c2ccccc2)N1,,10000,nM
O=C(NCCCCCCNC(=O)NCc1cnccc1)NCc1cnccc1,,10000,nM
Clc1c(N2CC(CN)CC2)nc2NC=C(C(=O)O)C(=O)c2c1C,,10000,nM
Nc1n2c(nn1)C=CC(c1ccccc1)=C2,,100000,nM
Fc1c(C(=O)N2CCN(c3ncccn3)CC2)cc(CC2=NNC(=O)C3=C2CCCC3)cc1,,10000,nM
O=C(N(c1ccncc1)C=1C(=O)C(=O)C=1NC(C(C)(C)C)C)C,,10000,nM
C(Cc1noc(-c2cc3c([nH]nc3)cc2)c1)C,,10000,nM
Clc1nc(NCc2ccccc2)cc(-c2c3c([nH]c2)nccc3)c1,,1258.9301,nM
O(CCc1ncccc1)c1nc(NN=Cc2cc(C)ccc2)cc(N2CCOCC2)n1,,10000,nM
